"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1958.615385,46,263,8,7,16,31,3,178,17,11,44,1,1,134,15,11,9,295,504,149,10,9,5,33,50,18,9,11,14,11,37,83,35,27,26,7,2,1,58,38
1958.653846,19,128,9,3,4,25,5,71,19,9,20,0,3,85,18,24,7,147,317,115,12,14,6,27,27,18,7,14,8,12,23,28,25,22,16,4,3,2,26,15
1958.692308,9,74,9,3,6,14,1,34,25,16,9,1,5,89,10,16,2,111,194,92,12,8,6,18,9,9,1,8,3,7,7,9,18,6,13,0,1,1,20,7
1958.730769,7,60,7,10,0,7,3,50,26,27,4,1,1,88,1,30,1,97,242,148,7,5,2,12,22,3,1,14,1,10,10,5,6,3,22,1,0,0,18,3
1958.769231,17,69,19,8,1,5,5,48,77,46,2,4,1,278,0,44,3,123,362,152,8,7,1,11,59,3,1,38,1,14,24,1,5,1,64,7,1,0,29,3
1958.807692,33,93,4,13,0,10,11,67,54,65,5,11,4,421,3,95,0,187,543,121,5,3,2,28,82,1,0,50,1,30,35,19,0,0,40,23,2,1,87,2
1958.846154,35,92,0,15,2,14,12,54,73,66,12,14,1,635,4,71,3,239,633,150,9,5,0,39,82,2,4,97,1,49,56,23,2,2,86,20,0,2,49,26
1958.884615,64,105,2,9,1,43,12,54,155,49,23,69,2,686,4,62,1,237,785,188,5,4,1,75,74,2,20,107,0,53,85,77,5,3,149,15,3,0,24,97
1958.923077,114,154,9,0,0,70,29,69,161,160,38,118,0,587,14,105,3,279,1194,233,3,41,0,98,111,12,39,115,2,60,101,98,1,3,238,3,11,2,15,81
1958.961538,135,125,23,6,1,50,63,116,108,128,34,156,1,304,3,153,3,350,1283,147,2,48,0,115,87,17,40,184,1,42,157,88,29,4,231,1,9,0,31,109
1959,276,302,30,8,4,121,146,81,215,407,117,264,2,402,4,354,5,622,2357,278,31,162,1,119,166,28,56,290,3,80,400,172,52,12,211,69,16,6,88,131
1959.038462,234,472,26,56,46,176,171,83,232,361,68,232,50,314,1,464,6,415,2285,397,58,152,2,136,168,36,71,289,8,49,409,145,112,62,136,60,34,3,112,57
1959.076923,289,907,54,92,58,349,220,146,297,697,131,271,126,276,6,822,7,430,2838,518,95,407,0,125,235,75,109,295,10,50,637,328,276,161,101,132,99,8,140,114
1959.115385,342,1072,76,92,52,496,310,328,428,724,186,210,134,132,6,1014,16,504,3122,430,88,708,0,136,172,76,226,270,24,62,868,358,294,220,140,216,216,6,124,116
1959.153846,182,1229,73,84,57,554,235,288,406,698,137,166,126,102,2,938,17,417,2779,539,95,503,2,117,138,127,172,267,36,75,706,271,345,277,90,371,256,5,127,84
1959.192308,122,1118,111,87,82,513,198,299,403,523,130,137,204,42,5,1043,20,272,2747,548,119,657,2,91,77,205,197,83,130,33,685,224,364,309,83,378,312,4,126,68
